pokedex_number,name,types,total,hp,attack,defense,special_attack,special_defense,speed
0001,Bulbasaur,['Grass'],318,45,49,49,65,65,45
0002,Ivysaur,['Grass'],405,60,62,63,80,80,60
0003,Venusaur,['Grass'],525,80,82,83,100,100,80
0003,Venusaur,['Grass'],625,80,100,123,122,120,80
0004,Charmander,[],309,39,52,43,60,50,65
0005,Charmeleon,[],405,58,64,58,80,65,80
0006,Charizard,[],534,78,84,78,109,85,100
0006,Charizard,[],634,78,130,111,130,85,100
0006,Charizard,[],634,78,104,78,159,115,100
0007,Squirtle,[],314,44,48,65,50,64,43
0008,Wartortle,[],405,59,63,80,65,80,58
0009,Blastoise,[],530,79,83,100,85,105,78
0009,Blastoise,[],630,79,103,120,135,115,78
0010,Caterpie,[],195,45,30,35,20,20,45
0011,Metapod,[],205,50,20,55,25,25,30
0012,Butterfree,[],395,60,45,50,90,80,70
0013,Weedle,[],195,40,35,30,20,20,50
0014,Kakuna,[],205,45,25,50,25,25,35
0015,Beedrill,[],395,65,90,40,45,80,75
0015,Beedrill,[],495,65,150,40,15,80,145
0016,Pidgey,[],251,40,45,40,35,35,56
0017,Pidgeotto,[],349,63,60,55,50,50,71
0018,Pidgeot,[],479,83,80,75,70,70,101
0018,Pidgeot,[],579,83,80,80,135,80,121
0019,Rattata,[],253,30,56,35,25,35,72
0019,Rattata,[],253,30,56,35,25,35,72
0020,Raticate,[],413,55,81,60,50,70,97
0020,Raticate,[],413,75,71,70,40,80,77
0021,Spearow,[],262,40,60,30,31,31,70
0022,Fearow,[],442,65,90,65,61,61,100
0023,Ekans,[],288,35,60,44,40,54,55
0024,Arbok,[],448,60,95,69,65,79,80
0025,Pikachu,[],320,35,55,40,50,50,90
0025,Pikachu,[],430,45,80,50,75,60,120
0026,Raichu,[],485,60,90,55,90,80,110
0026,Raichu,[],485,60,85,50,95,85,110
0027,Sandshrew,[],300,50,75,85,20,30,40
0027,Sandshrew,[],300,50,75,90,10,35,40
0028,Sandslash,[],450,75,100,110,45,55,65
0028,Sandslash,[],450,75,100,120,25,65,65
0029,Nidoran♀,[],275,55,47,52,40,40,41
0030,Nidorina,[],365,70,62,67,55,55,56
0031,Nidoqueen,[],505,90,92,87,75,85,76
0032,Nidoran♂,[],273,46,57,40,40,40,50
0033,Nidorino,[],365,61,72,57,55,55,65
0034,Nidoking,[],505,81,102,77,85,75,85
0035,Clefairy,[],323,70,45,48,60,65,35
0036,Clefable,[],483,95,70,73,95,90,60
0037,Vulpix,[],299,38,41,40,50,65,65
0037,Vulpix,[],299,38,41,40,50,65,65
0038,Ninetales,[],505,73,76,75,81,100,100
0038,Ninetales,[],505,73,67,75,81,100,109
0039,Jigglypuff,[],270,115,45,20,45,25,20
0040,Wigglytuff,[],435,140,70,45,85,50,45
0041,Zubat,[],245,40,45,35,30,40,55
0042,Golbat,[],455,75,80,70,65,75,90
0043,Oddish,['Grass'],320,45,50,55,75,65,30
0044,Gloom,['Grass'],395,60,65,70,85,75,40
0045,Vileplume,['Grass'],490,75,80,85,110,90,50
0046,Paras,['Grass'],285,35,70,55,45,55,25
0047,Parasect,['Grass'],405,60,95,80,60,80,30
0048,Venonat,[],305,60,55,50,40,55,45
0049,Venomoth,[],450,70,65,60,90,75,90
0050,Diglett,[],265,10,55,25,35,45,95
0050,Diglett,[],265,10,55,30,35,45,90
0051,Dugtrio,[],425,35,100,50,50,70,120
0051,Dugtrio,[],425,35,100,60,50,70,110
0052,Meowth,[],290,40,45,35,40,40,90
0052,Meowth,[],290,40,35,35,50,40,90
0052,Meowth,[],290,50,65,55,40,40,40
0053,Persian,[],440,65,70,60,65,65,115
0053,Persian,[],440,65,60,60,75,65,115
0054,Psyduck,[],320,50,52,48,65,50,55
0055,Golduck,[],500,80,82,78,95,80,85
0056,Mankey,[],305,40,80,35,35,45,70
0057,Primeape,[],455,65,105,60,60,70,95
0058,Growlithe,[],350,55,70,45,70,50,60
0058,Growlithe,[],350,60,75,45,65,50,55
0059,Arcanine,[],555,90,110,80,100,80,95
0059,Arcanine,[],555,95,115,80,95,80,90
0060,Poliwag,[],300,40,50,40,40,40,90
0061,Poliwhirl,[],385,65,65,65,50,50,90
0062,Poliwrath,[],510,90,95,95,70,90,70
0063,Abra,[],310,25,20,15,105,55,90
0064,Kadabra,[],400,40,35,30,120,70,105
0065,Alakazam,[],500,55,50,45,135,95,120
0065,Alakazam,[],600,55,50,65,175,105,150
0066,Machop,[],305,70,80,50,35,35,35
0067,Machoke,[],405,80,100,70,50,60,45
0068,Machamp,[],505,90,130,80,65,85,55
0069,Bellsprout,['Grass'],300,50,75,35,70,30,40
0070,Weepinbell,['Grass'],390,65,90,50,85,45,55
0071,Victreebel,['Grass'],490,80,105,65,100,70,70
0072,Tentacool,[],335,40,40,35,50,100,70
0073,Tentacruel,[],515,80,70,65,80,120,100
0074,Geodude,[],300,40,80,100,30,30,20
0074,Geodude,[],300,40,80,100,30,30,20
0075,Graveler,[],390,55,95,115,45,45,35
0075,Graveler,[],390,55,95,115,45,45,35
0076,Golem,[],495,80,120,130,55,65,45
0076,Golem,[],495,80,120,130,55,65,45
0077,Ponyta,[],410,50,85,55,65,65,90
0077,Ponyta,[],410,50,85,55,65,65,90
0078,Rapidash,[],500,65,100,70,80,80,105
